own_pending_for_broadcast_,delivered_,pending_for_delivery_,acks_
117,674,121,793
117,674,125,797
117,676,135,809
117,678,133,807
117,678,133,807
117,678,133,807
117,678,134,808
117,678,136,810
117,678,137,811
117,678,137,813
117,680,136,812
117,680,140,818
117,680,142,820
117,682,140,820
117,682,141,821
117,682,142,822
117,693,131,811
117,693,131,811
117,693,131,811
117,693,131,811
117,693,135,826
117,694,135,826
117,694,135,826
117,694,135,826
117,694,142,834
117,698,138,830
117,698,138,830
117,698,139,831
117,698,140,832
117,698,148,844
117,700,146,844
117,701,145,843
117,701,146,844
117,701,151,850
117,703,155,856
117,703,155,856
117,703,158,859
117,703,158,859
117,703,159,860
117,706,157,858
117,706,157,858
117,706,162,863
117,706,162,863
117,706,162,863
117,706,162,863
117,706,169,873
117,707,168,872
117,707,168,872
117,707,172,877
117,709,171,876
117,709,179,884
117,712,176,881
117,712,176,881
117,712,177,882
117,712,177,882
117,712,177,882
117,712,177,882
117,712,177,882
117,712,177,882
117,712,177,882
117,712,180,885
117,712,180,885
117,712,181,886
117,712,196,901
117,712,197,902
117,712,201,911
117,718,201,917
117,724,195,911
117,724,195,911
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,199,915
117,724,201,917
117,724,201,917
117,724,214,930
117,724,215,931
117,724,215,931
117,724,215,931
117,724,221,939
117,726,220,944
115,740,212,939
115,746,206,935
115,746,206,935
115,746,206,935
115,746,206,935
115,746,209,953
115,754,203,948
115,754,204,950
115,762,196,942
115,762,196,956
115,768,191,951
115,768,194,954
115,768,195,961
115,771,192,961
115,774,190,959
115,774,192,964
115,780,186,958
115,780,190,968
115,797,173,968
115,797,175,970
115,797,175,970
115,797,176,971
115,797,176,971
115,805,168,963
115,805,169,964
115,805,169,964
115,805,173,976
115,805,173,976
115,805,182,985
115,805,185,988
115,805,185,988
115,805,185,988
115,805,186,989
115,807,184,987
115,807,184,987
115,807,184,987
115,807,184,987
115,807,186,991
115,812,182,987
115,812,182,987
115,812,192,997
115,812,193,998
115,812,195,1000
115,812,197,1007
115,814,196,1008
115,816,197,1009
115,816,197,1009
115,816,197,1009
115,816,204,1018
115,817,204,1019
115,817,209,1024
115,817,210,1025
115,817,214,1029
115,818,214,1029
